"id","theme_id","theme","theme_description","category","constraint","problem","problem_description","action","source_refs"
"1","T1","Orientation — I don't know where to start","The pain of not yet having an evaluation programme. The team can ship an LLM feature but cannot defensibly answer ""is this working?"" — no dataset, no monitoring discipline, no shared vocabulary, no way to tell whether a change made things better or worse.","Adaptation","Error is Inherent","Don't know where to start an eval suite","The team agrees they need evals but has no entry point — no canonical dataset, no agreed task shape, no decision on graders. Work stalls at the first design meeting.","Start with 20–50 tasks drawn from real failure transcripts; combine code-based, model-based, and human graders; manage non-determinism with pass@k and pass^k","1 — Anthropic Demystifying"
"2","T11","Organisational scale & reuse","The pain of an organisation that builds the same thing repeatedly. Every team rebuilds eval scaffolding, prompts proliferate inconsistently, skill registries are maintained by hand, repo-by-repo upgrades crawl, and the 80→95 quality plateau eats most of the budget.","Regulation","Robustness Fragility","Mixing capability and regression testing into one suite","One eval set tries to answer both ""what can this agent do"" and ""has anything broken since last week."" The two questions need different cadences and signal profiles; conflating them produces a suite that does neither well.","Separate capability evals (exploring what the agent can do) from regression evals (catching breaks) — they have different shapes and cadences","1 — Anthropic Demystifying"
"3","T7","Metrics miss intent","The pain of high scores that don't predict real outcomes. Coding agents pass shallow checks but fail in practice; healthcare benchmarks fixate on accuracy; ""agent did X% of work"" headlines hide that full delegation success is closer to 0–20%. The metric and the goal have decoupled.","Regulation","Partial Alignment","Coding/computer-use agents that pass shallow checks but fail in practice","Tests assert that an output looks right (compiles, returns JSON, clicks the button) but never check the underlying state or behaviour. Agents reliably pass these tests and reliably fail in production.","For coding agents: deterministic outcome tests + LLM rubrics for code quality. For computer-use: verify both UI actions and backend state","1 — Anthropic Demystifying"
"4","T3","Observability — can I see what happened?","The pain of not being able to see what an agent actually did. Logs are partial, traces aren't comparable across frameworks, long runs hide their failure point, and tool calls and reasoning steps disappear into a black box. Post-hoc debugging is impossible without instrumentation the team didn't install in time.","Adaptation","Interpretability is Partial","Eval signals miss workflow-level issues","Tests fire at individual model calls or tool calls but never grade the trajectory as a whole. Workflow-level failures (skipped step, wrong handoff, lost context) slip through.","Frame each eval as `prompt → captured run (trace + artifacts) → checks → comparable score`; have structured graders score traces against criteria covering model calls, tool calls, guardrails, and handoffs","2 — OpenAI Eval Skills"
"5","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Regulation","Human Feedback is Substrate","LLM-judge scores aren't trustworthy across studies","Two write-ups report ""LLM-judge score X"" with no calibration data. The numbers can't be compared — one judge may run 30 points stricter than another on the same outputs.","Calibrate judges to ≥0.80 Spearman correlation with human evaluators before treating scores as comparable","3 — Galileo"
"6","T2","Trust the scores — variance, bias, calibration","The pain of measurement validity. Single-run scores look stable but aren't; LLM-judge scores drift between models, across versions, and against humans; standard errors are absent or computed wrong. The team cannot tell whether a score change reflects a real improvement or noise.","Regulation","Human Feedback is Substrate","LLM-judge bias contaminates rubric scores","The judge consistently prefers longer answers, or first-position answers, or its own model family's style. The rubric measures what the judge likes, not what the rubric is supposed to measure.","Use evidence-anchored scoring and ensemble methods (multiple judges, position/length bias mitigations)","3 — Galileo"
"7","T7","Metrics miss intent","The pain of high scores that don't predict real outcomes. Coding agents pass shallow checks but fail in practice; healthcare benchmarks fixate on accuracy; ""agent did X% of work"" headlines hide that full delegation success is closer to 0–20%. The metric and the goal have decoupled.","Regulation","Partial Alignment","Confusion between ""did the agent reason well"" and ""did it succeed""","Reasoning quality and task success are conflated into one score. A good plan followed by a bad final answer looks the same as a bad plan that happened to succeed.","Split metrics into trajectory (reasoning steps, tool selection, decision paths) and outcome (completion, accuracy, latency) — measure both","3 — Galileo"
"8","T7","Metrics miss intent","The pain of high scores that don't predict real outcomes. Coding agents pass shallow checks but fail in practice; healthcare benchmarks fixate on accuracy; ""agent did X% of work"" headlines hide that full delegation success is closer to 0–20%. The metric and the goal have decoupled.","Resilience","Benchmark Expiry","Picking the wrong benchmark for the use case","A general-reasoning benchmark gets used to evaluate a browser agent, or a coding benchmark gets used for research tasks. The score moves but doesn't predict the production behaviour the team cares about.","Map benchmark to use case: GAIA for general reasoning, WebArena for browser, SWE-bench Verified for coding, AgentBench for multi-domain","3 — Galileo"
"9","T3","Observability — can I see what happened?","The pain of not being able to see what an agent actually did. Logs are partial, traces aren't comparable across frameworks, long runs hide their failure point, and tool calls and reasoning steps disappear into a black box. Post-hoc debugging is impossible without instrumentation the team didn't install in time.","Adaptation","Interpretability is Partial","Don't know where in a long agent run it breaks","Agent fails after 47 steps. Logs say something went wrong but not which step, why the agent took that branch, or what the prior step's context contained.","Treat agent as black box for end-to-end success measurement, then layer step-level diagnostics using transition failure matrices to localise breakdowns","4 — Hamel/Shreya FAQ"
"10","T3","Observability — can I see what happened?","The pain of not being able to see what an agent actually did. Logs are partial, traces aren't comparable across frameworks, long runs hide their failure point, and tool calls and reasoning steps disappear into a black box. Post-hoc debugging is impossible without instrumentation the team didn't install in time.","Adaptation","Interpretability is Partial","Early failures invisible because logs are partial","Logs capture the final answer but not the intermediate prompts and tool calls. Early-stage failures cascade through the run, and by the time logs catch up, the root cause is unrecoverable.","Log full traces with session IDs — early-stage failures cascade and are unrecoverable without complete traces","4 — Hamel/Shreya FAQ"
