Company,Url,Problem,How I used,Benefit,Capability,Function
BMW Group,https://www.press.bmwgroup.com/global/article/detail/T0298650EN/fast-efficient-reliable:-artificial-intelligence-in-bmw-group-production,"Sequencing thousands of made-to-order vehicles into assembly is a brittle, manual planning job.","A computer-vision ""car sorter"" identifies each vehicle by spec on the inbound line and assigns its assembly slot automatically.",Throughput rises and re-work falls because every car arrives at the right station in the right order.,Plan & Schedule,"Planning, forecasting & supply chain"
Unilever,https://www3.weforum.org/docs/WEF_Global_Lighthouse_Network_2023.pdf,Demand volatility across 300+ factories breaks fixed production schedules.,"Demand-sensing ML ingests live POS, weather, and supplier signals to re-forecast continuously.","Schedules adapt within hours instead of weeks, cutting waste and stock-outs.",Plan & Schedule,"Planning, forecasting & supply chain"
Foxconn,https://blogs.nvidia.com/blog/electronics-giants-industrial-automation-nvidia-metropolis-for-factories/,Manual QC on high-mix electronics lines is slow and inconsistent.,Computer-vision models on NVIDIA Metropolis edge GPUs score every board for surface and assembly defects.,Defects are caught at line speed; manual sampling becomes obsolete.,Review,Quality inspection & defect detection
Audi,https://www.audi-mediacenter.com/en/press-releases/audi-begins-roll-out-of-artificial-intelligence-for-quality-control-of-spot-welds-15443,Ultrasonic sampling of spot welds misses defects and only audits a fraction of joins.,A CNN trained on labelled weld images scores every weld from in-line cameras.,~5 M welds per shift get full coverage at higher accuracy than ultrasonic testing.,Review,Quality inspection & defect detection
BMW Group,https://www.bmwgroup.com/en/news/general/2023/aiqx.html,End-of-line quality gates catch defects too late; rework is expensive.,Sensor and vision data feed an in-line AI platform that scores quality station-by-station.,Defects are flagged within seconds — well before final assembly — so rework cost drops.,Review,Quality inspection & defect detection
Siemens × Schaeffler,https://press.siemens.com/global/en/pressrelease/siemens-and-microsoft-partner-drive-cross-industry-ai-adoption,"Engineers lose hours searching technical docs, PLC code, and manuals.","An LLM indexes specs, PLC code, and manuals; engineers query in natural language.","Answers surface in seconds, replacing manual document hunts.",Search & Rank,Knowledge access & decision support
Bosch,https://www.bosch.com/stories/agentic-ai-manufacturing-production/,"Frontline engineers can't find specs, manuals, or historical quality records fast enough.",An agentic GenAI system retrieves from plant document stores and quality databases on demand.,~€850k annual savings reported at Bamberg from faster shopfloor decisions.,Search & Rank,Knowledge access & decision support
GM × Autodesk,https://www.autodesk.com/customer-stories/general-motors-generative-design,Traditional CAD struggles to find optimal multi-part assemblies under weight and strength constraints.,Generative-design algorithms explore thousands of topology variants under the same constraints.,8 components consolidated into 1 — 40% lighter and 20% stronger.,Generate,Generative design & CAD
Airbus,https://www.research.autodesk.com/projects/bionic-partition/,"Cabin partitions add weight, costing fuel across every flight, every aircraft.",Generative algorithms optimised the load paths into a bionic lattice structure.,45% lighter partition — fuel savings compound fleet-wide.,Generate,Generative design & CAD
Siemens × Microsoft,https://news.siemens.com/en-us/nx-x-microsoft-azure/,Designers manually produce design variants and technical documentation — slow and repetitive.,AI Copilot integrated in NX (on Azure) generates variants and docs from natural-language prompts.,Design exploration and documentation shift from days to minutes.,Generate,Generative design & CAD
Toyota,https://cloud.google.com/blog/topics/hybrid-cloud/toyota-ai-platform-manufacturing-efficiency,Line workers can't access the right corrective action fast enough when defects spike.,An internal ML platform models each line's defect patterns and ranks corrective actions per worker.,Defects and downtime fall as personalised next-best-actions reach the right operator.,Recommend & Personalise,Knowledge access & decision support
Schneider Electric,https://www.se.com/uk/en/product-range/65708-ecostruxure-machine-advisor/,Technicians get generic maintenance schedules disconnected from each machine's actual condition.,Per-asset condition models prioritise tasks against live sensor data.,Each technician receives a list tailored to their specific machines' state.,Recommend & Personalise,Predictive maintenance & asset health
ABB,https://new.abb.com/process-automation/genix,"Operators, maintainers, and plant managers all need different answers from the same plant data.",Role-aware filters and rankings expose different recommendations from one shared analytics layer.,"Each user role sees actions matching their job, from one underlying data set.",Recommend & Personalise,Knowledge access & decision support
BMW Group,https://www.bmwgroup.com/en/news/general/2023/aiqx.html,Different defect categories require different rework paths — manual triage is slow.,"Vision classifiers label defects in real time as surface, missing-component, or assembly anomaly.",Each defect routes automatically to the correct rework station as soon as it's seen.,Classify & Group,Quality inspection & defect detection
Foxconn × NVIDIA,https://blogs.nvidia.com/blog/electronics-giants-industrial-automation-nvidia-metropolis-for-factories/,"""Solder"", ""missing component"", ""misalignment"" — each defect class needs different downstream handling.",A multi-class vision model labels every PCB defect from line cameras.,Defects route to the right rework or scrap path without operator triage.,Classify & Group,Quality inspection & defect detection
Audi,https://www.audi-mediacenter.com/en/press-releases/audi-begins-roll-out-of-artificial-intelligence-for-quality-control-of-spot-welds-15443,Ultrasonic sampling can't tell why a weld is poor — only that it is.,"A CNN classifies welds by failure mode (porosity, undersize, misalignment, etc.) from image data.","Engineers see the why of every defective weld, not just a pass/fail count.",Classify & Group,Quality inspection & defect detection
Siemens × Schaeffler,https://press.siemens.com/global/en/pressrelease/ai-industry-schaeffler-and-siemens-bring-industrial-copilot-shopfloor,"Fixing a PLC issue requires reading code, querying machine data, drafting a change, and deploying it — across multiple tools.","An agentic Copilot chains tool calls across TIA Portal: code reader, data query, code generator, deployer.",A multi-step PLC fix collapses to a single conversation across plants.,Orchestrate,Automation engineering
Bridgestone,https://www.microsoft.com/en-us/microsoft-cloud/blog/manufacturing/2024/05/13/accelerating-industrial-transformation-with-ai/,"Answering ""why did OEE drop on Line 3 last shift?"" requires joining MES, ERP, and historian data manually.","Agents call MES, ERP, and historian connectors, then combine the results into a natural-language answer.",Plant managers ask root-cause questions in plain English without engineering help.,Orchestrate,Knowledge access & decision support
Nissan,https://www.siemens.com/global/en/products/services/digital-enterprise-services/analytics-artificial-intelligence-services/senseye-predictive-maintenance.html,Unplanned machine failures take whole lines down — far costlier than the failed part.,ML models trained on each machine's signature predict failures hours-to-weeks ahead.,Reported >50% reduction in unplanned downtime across the line.,Forecast,Predictive maintenance & asset health
Unilever,https://www.unilever.com/news/news-search/2024/utilising-ai-to-redefine-the-future-of-customer-connectivity/,"SKU-level demand swings hit production planning, inventory, and supplier orders.",ML forecasts SKU-level demand and ingredient consumption across the global factory network.,"Production, inventory, and supplier orders stay in sync as demand shifts.",Forecast,"Planning, forecasting & supply chain"
Google DeepMind,https://deepmind.google/discover/blog/machine-learning-can-boost-the-value-of-wind-energy/,Wind is intermittent — buyers can't commit to the grid 24h ahead without forecasts.,A neural net predicts wind output 36 hours ahead from weather inputs.,Realised energy value lifts ~20%; industrial energy buyers adopt the forecasts.,Forecast,"Planning, forecasting & supply chain"
Siemens Digital Industries,https://www.microsoft.com/en/customers/story/1703499442875711080-siemens-digital-industries-software-microsoft-azure-ai-germany,"CAD, BOM, and spec data sits trapped in PLM files — hard to query, hard to compare.",A generative-AI Copilot inside Teamcenter parses PLM content and exposes structured queries.,"Engineers retrieve, compare, and extract engineering data conversationally.",Transform & Structure,Knowledge access & decision support
Google DeepMind,https://deepmind.google/discover/blog/deepmind-ai-reduces-google-data-centre-cooling-bill-by-40/,"Cooling is a huge, complex energy load — hand-tuned setpoints leave money on the table.",A reinforcement-learning controller adjusts cooling setpoints continuously against live load.,Up to 40% reduction in cooling energy; the approach is licensed for industrial HVAC.,Optimise,Process & energy optimization
Ericsson,https://www3.weforum.org/docs/WEF_Global_Lighthouse_Network_2023.pdf,Manual line balancing and material handling cap throughput per worker.,AI re-balances the line and routes AGVs in real time over the plant's 5G network.,120% output-per-employee gain and 65% drop in manual material handling.,Optimise,Process & energy optimization
Schaeffler & thyssenkrupp,https://press.siemens.com/global/en/pressrelease/siemens-and-microsoft-partner-drive-cross-industry-ai-adoption,"Diagnosing a fault means stitching together PLC code, manuals, and error logs by hand.","An LLM reasons jointly over PLC code, manuals, and error logs to propose causes.",Engineers receive a ranked cause-and-fix shortlist instead of starting from scratch.,Reason & Infer,Automation engineering
